index,name,rating,num_votes,institution,course_id,keyword,course_url,start_year,title_type,sum_rating
19,American Contract Law I,4.83,1011,Yale University,contracts-1,law,https://www.coursera.org/learn/contracts-1,2013,4,4883
20,An Introduction to American Law,4.87,1136,University of Pennsylvania,american-law,law,https://www.coursera.org/learn/american-law,2018,4,5532
21,An Introduction to Consumer neuroscience & neuromarketing,4.74,2298,Copenhagen Business School,neuromarketing,commerce,https://www.coursera.org/learn/neuromarketing,2018,10,10893
22,"Anatomy of the Chest, Abdomen, and Pelvis",4.78,2738,Yale University,trunk-anatomy,medical,https://www.coursera.org/learn/trunk-anatomy,2019,4,13088
23,Anatomy: Musculoskeletal and Integumentary Systems,4.85,2738,University of Michigan,anatomy403-1x,medical,https://www.coursera.org/learn/anatomy403-1x,2019,4,13279
24,Ancient Philosophy: Plato & His Predecessors,4.14,1966,University of Pennsylvania,plato,history,https://www.coursera.org/learn/plato,2014,2,8139
25,Animal Behaviour and Welfare,4.81,2653,The University of Edinburgh,animal-welfare,medical / animals,https://www.coursera.org/learn/animal-welfare,2013,4,12761
26,Antibiotic Stewardship,4.2,2963,Stanford University,antibiotic-stewardship,medical,https://www.coursera.org/learn/antibiotic-stewardship,2019,4,12445
27,Anticorrupcion: Introduccion a conceptos y perspectiva practica,4.88,1964,Universidad nacional Autonoma de Mexico,anticorrupcion-introduccion,foreign,https://www.coursera.org/learn/anticorrupcion-introduccion,2015,5,9584
28,Applied Data Science Capstone,4.53,3362,IBM,applied-data-science-capstone,ds / coding,https://www.coursera.org/learn/applied-data-science-capstone,2012,11,15230
29,Applied Machine Learning in Python,4.51,5069,University of Michigan,python-machine-learning,ml / python / coding,https://www.coursera.org/learn/python-machine-learning,2020,6,22861
30,"Applied Plotting, Charting & Data Representation in Python",4.36,5253,University of Michigan,python-plotting,python / coding,https://www.coursera.org/learn/python-plotting,2018,6,22903
31,Aprendiendo a aprender: Poderosas herramientas mentales con las que podras dominar temas dificiles (Learning How to Learn),4.93,1924,University of California San Diego,aprendiendo-a-aprender,foreign,https://www.coursera.org/learn/aprendiendo-a-aprender,2015,5,9485
32,Arts and Heritage Management,4.79,1902,Universita Bocconi,arts-heritage,arts,https://www.coursera.org/learn/arts-heritage,2015,3,9111
33,Astronomy: Exploring Time and Space,4.88,2404,University of Arizona,astro,space / science,https://www.coursera.org/learn/astro,2015,12,11732
34,Autism Spectrum Disorder,4.68,2608,"University of California, Davis",autism-spectrum-disorder,medical,https://www.coursera.org/learn/autism-spectrum-disorder,2019,4,12205
35,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,4.71,3405,Autodesk,autodesk-autocad-design-drafting,computer / drawing,https://www.coursera.org/learn/autodesk-autocad-design-drafting,2014,6,16038
36,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,4.77,3022,Autodesk,autodesk-revit-architectural-design,computer/drawing,https: /  / www.coursera.org / learn / autodesk-revit-architectural-design,2012,6,14415
37,Basic Statistics,4.62,2941,University of Amsterdam,basic-statistics,maths,https://www.coursera.org/learn/basic-statistics,2019,7,13587
38,Bayesian Statistics: From Concept to Data Analysis,4.45,2830,"University of California, Santa Cruz",bayesian-statistics,maths,https://www.coursera.org/learn/bayesian-statistics,2012,7,12594
39,Bayesian Statistics: Techniques and Models,4.8,2859,"University of California, Santa Cruz",mcmc-bayesian-statistics,maths,https://www.coursera.org/learn/mcmc-bayesian-statistics,2012,7,13723
40,Become a CBRS Certified Professional Installer by Google,4.93,3444,Google - Spectrum Sharing,google-cbrs-cpi-training,coding,https://www.coursera.org/learn/google-cbrs-cpi-training,2014,11,16979
41,Becoming a changemaker: Introduction to Social Innovation,4.3,1517,University of Cape Town,social-innovation,arts,https://www.coursera.org/learn/social-innovation,2019,3,6523
42,Behavioral Finance,4.09,2079,Duke University,duke-behavioral-finance,commerce,https://www.coursera.org/learn/duke-behavioral-finance,2020,10,8503
43,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,4.75,1800,University of Michigan,beyond-the-sustainable-development-goals-addressing-sustainability-and-development,arts,https://www.coursera.org/learn/beyond-the-sustainable-development-goals-addressing-sustainability-and-development,2020,3,8550
44,"Big Data Essentials: HDFS, MapReduce and Spark RDD",3.42,3178,Yandex,big-data-essentials,data / coding,https://www.coursera.org/learn/big-data-essentials,2013,11,10869
45,Big History: Connecting Knowledge,4.8,1595,Macquarie University,big-history,history,https://www.coursera.org/learn/big-history,2018,2,7656
46,Biohacking Your Brain's Health,4.7,2646,Emory University,biohacking-your-brains-health,medical,https://www.coursera.org/learn/biohacking-your-brains-health,2013,4,12436
47,Biology Meets Programming: Bioinformatics for Beginners,4.24,2684,University of California San Diego,bioinformatics,medical,https://www.coursera.org/learn/bioinformatics,2020,4,11380
48,Blockchain Basics,4.5,3336,University at Buffalo,blockchain-basics,coding,https://www.coursera.org/learn/blockchain-basics,2020,11,15012
49,"Brand Management: Aligning Business, Brand and Behaviour",4.9,1559,London Business School,brand,arts,https://www.coursera.org/learn/brand,2012,3,7639
50,Budgeting and Scheduling Projects,4.75,2134,"University of California, Irvine",schedule-projects,commerce,https://www.coursera.org/learn/schedule-projects,2019,8,10137
51,Bugs 101: Insect-Human Interactions,4.96,2872,University of Alberta,bugs-101,medical,https://www.coursera.org/learn/bugs-101,2020,4,14245
52,Build a Modern Computer from First Principles: From nand to Tetris (Project-Centered Course),4.92,3253,Hebrew University of Jerusalem,build-a-computer,computer,https://www.coursera.org/learn/build-a-computer,2017,6,16005
53,Build a Modern Computer from First Principles: nand to Tetris Part II (project-centered course),4.96,3367,Hebrew University of Jerusalem,nand2tetris2,computer,https://www.coursera.org/learn/nand2tetris2,2013,6,16700
54,Building Batch Data Pipelines on GCP,4.36,3368,Google Cloud,batch-data-pipelines-gcp,data / coding,https://www.coursera.org/learn/batch-data-pipelines-gcp,2017,11,14684
55,Building Containerized Applications on AWS,4.41,2681,Amazon Web Services,containerized-apps-on-aws,aws / coding,https://www.coursera.org/learn/containerized-apps-on-aws,2015,8,11823
56,Building Conversational Experiences with Dialogflow,4.24,1599,Google Cloud,conversational-experiences-dialogflow,arts,https://www.coursera.org/learn/conversational-experiences-dialogflow,2014,3,6780
57,Building Modern Python Applications on AWS,5,2958,Amazon Web Services,building-modern-python-applications-on-aws,aws / python / coding,https://www.coursera.org/learn/building-modern-python-applications-on-aws,2019,8,14790
58,Building Scalable Java Microservices with Spring Boot and Spring Cloud,4.02,5283,Google Cloud,google-cloud-java-spring,java / coding,https://www.coursera.org/learn/google-cloud-java-spring,2013,6,21238
59,Business English: networking,4.88,258,University of Washington,business-english-intro,business,https://www.coursera.org/learn/business-english-intro,2017,1,1259
60,Business Metrics for Data-Driven Companies,4.6,150,Duke University,analytics-business-metrics,business,https://www.coursera.org/learn/analytics-business-metrics,2017,1,690
61,Business Model Innovation,4.7,1216,HEC Paris,business-model,business,https://www.coursera.org/learn/business-model,2018,1,5715
62,Business Transformation with Google Cloud,4.83,1479,Google Cloud,business-transformation-google-cloud,business,https://www.coursera.org/learn/business-transformation-google-cloud,2014,1,7144
63,Business Writing,4.81,1091,University of Colorado Boulder,writing-for-business,business,https://www.coursera.org/learn/writing-for-business,2019,1,5248
64,C for Everyone: Programming Fundamentals,4.57,5283,"University of California, Santa Cruz",c-for-everyone,c / coding,https://www.coursera.org/learn/c-for-everyone,2015,6,24143
65,COVID-19 Contact Tracing For nursing Professionals,3.91,2743,University of Houston,covid-19-contact-tracing-for-nursing-professionals,medical / covid19,https://www.coursera.org/learn/covid-19-contact-tracing-for-nursing-professionals,2020,4,10725
66,COVID-19: What You need to Know (CME Eligible),4.85,2716,Osmosis,covid-19-what-you-need-to-know,medical / covid19,https://www.coursera.org/learn/covid-19-what-you-need-to-know,2020,4,13173
67,"Cameras, Exposure, and Photography",4.74,1566,Michigan State University,exposure-photography,arts,https://www.coursera.org/learn/exposure-photography,2014,3,7423
68,Camino a la Excelencia en Gestion de Proyectos,4.55,1723,Pontificia Universidad Catolica de Chile,camino-excelencia-gestion-proyectos,foreign,https://www.coursera.org/learn/camino-excelencia-gestion-proyectos,2015,5,7840
69,"Capstone: Retrieving, Processing, and Visualizing Data with Python",4.5,1678,University of Michigan,python-data-visualization,foreign,"https://www.coursera.org,learn,python-data-visualization",2014,5,7551
70,Career 911: Your Future Job in Medicine and Healthcare,4.27,5101,northwestern University,healthcarejobs,data / python / coding,https://www.coursera.org/learn/healthcarejobs,2017,6,21781
71,Challenging Forensic Science: How Science Should Speak to Court,4.79,2516,University of Lausanne,challenging-forensic-science,medical,https://www.coursera.org/learn/challenging-forensic-science,2012,4,12052
72,Chemicals and Health,4.86,1692,Johns Hopkins University,chemicals-health,arts / law,https://www.coursera.org/learn/chemicals-health,2018,3,8223
73,Child nutrition and Cooking,4.74,2144,Stanford University,childnutrition,science / medical,https://www.coursera.org/learn/childnutrition,2020,12,10163
74,Children's Human Rights - An Interdisciplinary Introduction,4.62,1749,University of Geneva,childrens-rights,arts,https://www.coursera.org/learn/childrens-rights,2019,3,8080
75,Chinese for Beginners,4.79,1188,Peking University,learn-chinese,language / foreign,https://www.coursera.org/learn/learn-chinese,2016,5,5691
76,Classical Sociological Theory,4.87,1518,University of Amsterdam,classical-sociological-theory,arts,https://www.coursera.org/learn/classical-sociological-theory,2017,3,7393
77,Claves para Gestionar Personas,4.88,1901,IESE Business School,gestionar-personas,foreign,https://www.coursera.org/learn/gestionar-personas,2018,5,9277
78,Clinical Terminology for International and U.S. Students,4.8,2745,University of Pittsburgh,clinical-terminology,medical,https://www.coursera.org/learn/clinical-terminology,2019,4,13176
79,Code Yourself! An Introduction to Programming,4.81,3286,The University of Edinburgh,intro-programming,coding,https://www.coursera.org/learn/intro-programming,2019,11,15806
80,Communication Strategies for a Virtual Age,4.88,1956,University of Toronto,communication-strategies-virtual-age,arts,https://www.coursera.org/learn/communication-strategies-virtual-age,2019,3,9545
81,Community Organizing for Social Justice,4.17,1899,University of Michigan,community-organizing,arts,https://www.coursera.org/learn/community-organizing,2020,3,7919
82,"Competencias Laborales: Perfiles, Evaluacion y Capacitacion.",4.52,1917,Universidad de Chile,competencias-lab,foreign,https://www.coursera.org/learn/competencias-lab,2013,5,8665
83,"Competencias digitales. Herramientas de ofimatica (Microsoft Word, Excel, Power Point)",4.77,3220,Universitat Autonoma de Barcelona,competencias-digitales-ofimatica,computer,https://www.coursera.org/learn/competencias-digitales-ofimatica,2019,6,15359
84,Computational neuroscience,4.6,3218,University of Washington,computational-neuroscience,computer,https://www.coursera.org/learn/computational-neuroscience,2014,6,14803
85,Computational Thinking for Problem Solving,4.69,3348,University of Pennsylvania,computational-thinking-problem-solving,computer,https://www.coursera.org/learn/computational-thinking-problem-solving,2020,6,15702
86,Construction Project Management,4.8,3081,Columbia University,construction-project-management,construction,https://www.coursera.org/learn/construction-project-management,2020,3,14789
87,Contabilidad para no contadores,4.77,1556,Universidad nacional Autonoma de Mexico,contabilidad,foreign,https://www.coursera.org/learn/contabilidad,2018,5,7422
88,Continuous Delivery & DevOps,4.55,1600,University of Virginia,uva-darden-continous-delivery-devops,arts,https://www.coursera.org/learn/uva-darden-continous-delivery-devops,2015,3,7280
89,Convolutional neural networks,3.88,3223,DeepLearning.AI,convolutional-neural-networks,computer,https://www.coursera.org/learn/convolutional-neural-networks,2012,6,12505
90,Convolutional neural networks in TensorFlow,4.47,3266,DeepLearning.AI,convolutional-neural-networks-tensorflow,computer,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,2012,6,14599
91,Corporate & Commercial Law I: Contracts & Employment Law,4.84,1099,University of Illinois at Urbana-Champaign,corporate-commercial-law-part1,law,https://www.coursera.org/learn/corporate-commercial-law-part1,2012,4,5319
92,Corporate Finance Essentials,4.87,2464,IESE Business School,corporate-finance-essentials,commerce,https://www.coursera.org/learn/corporate-finance-essentials,2016,10,12000
93,Corporate Strategy,4.95,1971,UCL School of Management,corporatestrategy,arts,https://www.coursera.org/learn/corporatestrategy,2017,3,9756
94,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,4.57,1909,Universita Bocconi,corp-sustainability,arts,https://www.coursera.org/learn/corp-sustainability,2014,3,8724
95,"Correccion, estilo y  variaciones de la lengua espanola",4.74,1584,Universitat Autonoma de Barcelona,correccion-estilo-variaciones,foreign,https://www.coursera.org/learn/correccion-estilo-variaciones,2013,5,7508
96,Cost and Economics in Pricing Strategy,4.82,2111,BCG,uva-darden-bcg-pricing-strategy-cost-economics,commerce,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-cost-economics,2020,10,10175
97,Crash Course on Python,4.73,5300,Google,python-crash-course,python / coding,https://www.coursera.org/learn/python-crash-course,2019,6,25069
98,Creative Problem Solving,4.53,3416,University of Minnesota,creative-problem-solving,computer,https://www.coursera.org/learn/creative-problem-solving,2014,4,15474
99,Creative Thinking: Techniques and Tools for Success,4.73,1993,Imperial College London,creative-thinking-techniques-and-tools-for-success,arts,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success,2014,3,9427
100,Creative Writing: The Craft of Plot,4.65,1815,Wesleyan University,craft-of-plot,arts,https://www.coursera.org/learn/craft-of-plot,2016,3,8440
101,Cryptocurrency and Blockchain: An Introduction to Digital Currencies,4.5,3262,University of Pennsylvania,wharton-cryptocurrency-blockchain-introduction-digital-currency,computer,https://www.coursera.org/learn/wharton-cryptocurrency-blockchain-introduction-digital-currency,2012,6,14679
102,Cryptography I,4.77,3250,Stanford University,crypto,computer / crypto,https://www.coursera.org/learn/crypto,2016,6,15503
103,Cultural Competence - Aboriginal Sydney,4.48,1827,The University of Sydney,cultural-competence-aboriginal-sydney,arts,https://www.coursera.org/learn/cultural-competence-aboriginal-sydney,2013,3,8185
104,Curanderismo: Traditional Healing Using Plants,1,2818,University of new Mexico,curanderismo-plants,medical,https://www.coursera.org/learn/curanderismo-plants,2019,4,2818
105,Cursos en linea: modelo para armar,4.95,1780,Universidad nacional Autonoma de Mexico,enlinea,foreign,https://www.coursera.org/learn/enlinea,2019,5,8811
106,Customer Analytics,4.45,2071,University of Pennsylvania,wharton-customer-analytics,commerce,https://www.coursera.org/learn/wharton-customer-analytics,2014,10,9216
107,Customer Segmentation and Prospecting,4.77,2214,northwestern University,customer-segmentation-prospecting,commerce,https://www.coursera.org/learn/customer-segmentation-prospecting,2016,10,10561
108,Cybersecurity Compliance Framework & System Administration,4.49,3243,IBM,cybersecurity-compliance-framework-system-administration,cyber / coding,https://www.coursera.org/learn/cybersecurity-compliance-framework-system-administration,2019,11,14561
109,"Cybersecurity Roles, Processes & Operating System Security",4.51,3044,IBM,cybersecurity-roles-processes-operating-system-security,cyber / coding,https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security,2017,11,13728
110,Data Analysis with Python,4.46,5242,IBM,data-analysis-with-python,data / python / coding,https://www.coursera.org/learn/data-analysis-with-python,2019,6,23380
111,Data Analytics for Lean Six Sigma,4.88,3150,University of Amsterdam,data-analytics-for-lean-six-sigma,data / coding,https://www.coursera.org/learn/data-analytics-for-lean-six-sigma,2014,11,15372
112,Data Management for Clinical Research,4.77,3500,Vanderbilt University,clinical-data-management,data / medical,https://www.coursera.org/learn/clinical-data-management,2014,6,16695
113,Data Science Math Skills,4.48,3009,Duke University,datasciencemathskills,data / maths,https://www.coursera.org/learn/datasciencemathskills,2013,6,13480
114,Data Science Methodology,4.33,3054,IBM,data-science-methodology,data,https://www.coursera.org/learn/data-science-methodology,2017,6,13224
115,Data Visualization with Python,4.06,5311,IBM,python-for-data-visualization,data / python / coding,https://www.coursera.org/learn/python-for-data-visualization,2019,6,21563
116,Data-driven Decision Making,4.52,3413,PwC,decision-making,data,https://www.coursera.org/learn/decision-making,2016,6,15427
117,Database Management Essentials,4.49,3339,University of Colorado System,database-management,database / sql / coding,https://www.coursera.org/learn/database-management,2019,11,14992
118,Databases and SQL for Data Science,4.39,3123,IBM,sql-data-science,database / sql / coding,https://www.coursera.org/learn/sql-data-science,2016,11,13708
119,Democracia y decisiones publicas. Introduccion al analisis de politicas publicas,4.86,1835,Universitat Autonoma de Barcelona,democracia,foreign,https://www.coursera.org/learn/democracia,2017,5,8918
120,Dentistry 101,4.84,2771,University of Michigan,dentistry101,medical / dentist,https://www.coursera.org/learn/dentistry101,2020,4,13412
121,Dermatology: Trip to skin,4.03,2965,novosibirsk State University,dermatology,medical,https://www.coursera.org/learn/dermatology,2020,4,11949
122,Design Thinking for Innovation,4.68,3431,University of Virginia,uva-darden-design-thinking-innovation,computer / designing,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,2016,6,16057
123,Design Thinking for the Greater Good: Innovation in the Social Sector,4.58,1547,University of Virginia,uva-darden-design-thinking-social-sector,arts,https://www.coursera.org/learn/uva-darden-design-thinking-social-sector,2013,3,7085
124,Design and Interpretation of Clinical Trials,4.73,2600,Johns Hopkins University,clinical-trials,medical,https://www.coursera.org/learn/clinical-trials,2016,4,12298
125,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,4.66,2369,The University of Sydney,design-strategy,designing,https://www.coursera.org/learn/design-strategy,2014,9,11040
126,DevOps Culture and Mindset,4.82,1864,"University of California, Davis",devops-culture-and-mindset,arts,https://www.coursera.org/learn/devops-culture-and-mindset,2012,3,8984
127,Developing Your Musicianship,4.88,2224,Berklee College of Music,develop-your-musicianship,music,https://www.coursera.org/learn/develop-your-musicianship,2014,3,10853
128,Devenir entrepreneur du changement,4.76,1865,HEC Paris,entrepreneur-changement,entrepreneur,https://www.coursera.org/learn/entrepreneur-changement,2017,1,8877
129,Digital Business Models,4.59,639,Lund University,digital-business-models,business,https://www.coursera.org/learn/digital-business-models,2016,1,2933
130,Digital Product Management: Modern Fundamentals,4.71,2140,University of Virginia,uva-darden-digital-product-management,commerce,https://www.coursera.org/learn/uva-darden-digital-product-management,2017,10,10079
131,Digital Transformation,4.8,3037,BCG,bcg-uva-darden-digital-transformation,computer,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,2020,5,14578
132,Dino 101: Dinosaur Paleobiology,4.9,1496,University of Alberta,dino101,history / research,https://www.coursera.org/learn/dino101,2013,6,7330
133,Discrete Optimization,4.83,2971,The University of Melbourne,discrete-optimization,maths,https://www.coursera.org/learn/discrete-optimization,2013,7,14350
134,Diversity and inclusion in the workplace,4.71,1853,ESSEC Business School,diversity-inclusion-workplace,arts,https://www.coursera.org/learn/diversity-inclusion-workplace,2012,3,8728
135,Dog Emotion and Cognition,4.63,1564,Duke University,dog-emotion-and-cognition,arts / animals,https://www.coursera.org/learn/dog-emotion-and-cognition,2017,3,7241
136,Driving business towards the Sustainable Development Goals,4.87,1324,Erasmus University Rotterdam,sdgbusiness,business,https://www.coursera.org/learn/sdgbusiness,2015,1,6448
137,Drug Commercialization,4.6,2648,University of California San Diego,drug-commercialization,medical,https://www.coursera.org/learn/drug-commercialization,2012,4,12181
138,Drug Development,4.55,2709,University of California San Diego,drug-development,medical,https://www.coursera.org/learn/drug-development,2020,4,12326
139,Drug Discovery,4.63,2749,University of California San Diego,drug-discovery,medical,https://www.coursera.org/learn/drug-discovery,2019,4,12728
140,Developpement psychologique de l'enfant,4.96,1549,University of Geneva,enfant-developpement,foreign,https://www.coursera.org/learn/enfant-developpement,2014,5,7683
141,EDIVET: Do you have what it takes to be a veterinarian?,4.69,1860,The University of Edinburgh,becoming-a-veterinarian,history,https://www.coursera.org/learn/becoming-a-veterinarian,2018,2,8723
142,EMT Foundations,4.85,1565,University of Colorado System,emt-foundations,emt,https://www.coursera.org/learn/emt-foundations,2013,1,7590
143,Ecology: Ecosystem Dynamics and Conservation,4.83,2128,Howard Hughes Medical Institute,ecology-conservation,nature,https://www.coursera.org/learn/ecology-conservation,2018,3,10278
144,Econometrics: Methods and Applications,4.53,2069,Erasmus University Rotterdam,erasmus-econometrics,commerce,https://www.coursera.org/learn/erasmus-econometrics,2012,10,9373
145,Economics of Money and Banking,4.96,2047,Columbia University,money-banking,commerce,https://www.coursera.org/learn/money-banking,2018,10,10153
146,Effective Business Presentations with Powerpoint,4.64,3117,PwC,powerpoint-presentations,computer,https://www.coursera.org/learn/powerpoint-presentations,2020,6,14463
147,Effective Compliance Programs,4.91,3219,University of Pennsylvania,effective-compliance-programs,computer,https://www.coursera.org/learn/effective-compliance-programs,2013,6,15805
148,El Abogado del Futuro: Legaltech y la Transformacion Digital del Derecho,4.97,1912,Universidad Austral,legaltech,foreign,https://www.coursera.org/learn/legaltech,2013,5,9503
149,Elastic Google Cloud Infrastructure: Scaling and Automation,4.6,3235,Google Cloud,gcp-infrastructure-scaling-automation,coding / computer,https://www.coursera.org/learn/gcp-infrastructure-scaling-automation,2013,11,14881
150,Electric Industry Operations and Markets,4.78,2469,Duke University,electricity,science,https://www.coursera.org/learn/electricity,2019,12,11802
151,Embedded Software and Hardware Architecture,4.31,3184,University of Colorado Boulder,embedded-software-hardware,computer,https://www.coursera.org/learn/embedded-software-hardware,2019,6,13723
152,Engineering Health: Introduction to Yoga and Physiology,4.58,2301,new York University,engineering-health-yoga-physiology,yoga,https://www.coursera.org/learn/engineering-health-yoga-physiology,2018,3,10539
153,Engineering Project Management: Initiating and Planning,4.8,1083,Rice University,initiating-planning,management,https://www.coursera.org/learn/initiating-planning,2017,1,5198
154,English Composition I,4.53,1307,Duke University,english-composition,language / foreign,https://www.coursera.org/learn/english-composition,2014,5,5921
155,English for Business and Entrepreneurship,4.88,386,University of Pennsylvania,business,business,https://www.coursera.org/learn/business,2019,1,1884
156,English for Career Development,4.85,1407,University of Pennsylvania,careerdevelopment,language / foreign,https://www.coursera.org/learn/careerdevelopment,2020,3,6824
157,English for Journalism,4.83,1257,University of Pennsylvania,journalism,journalism,https://www.coursera.org/learn/journalism,2013,3,6071
158,Enterprise Architecture,4.55,1549,Peter the Great St. Petersburg Polytechnic University,enterprise-architecture,arts,https://www.coursera.org/learn/enterprise-architecture,2017,3,7048
159,Entrepreneurship 1: Developing the Opportunity,4.8,1727,University of Pennsylvania,wharton-entrepreneurship-opportunity,entrepreneur,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,2014,1,8290
160,Entrepreneurship 2: Launching your Start-Up,4.75,1761,University of Pennsylvania,wharton-launching-startup,entrepreneur,https://www.coursera.org/learn/wharton-launching-startup,2015,1,8365
161,Entrepreneurship Strategy: From Ideation to Exit,1,1605,HEC Paris,entrepreneurship-strategy,entrepreneur,https://www.coursera.org/learn/entrepreneurship-strategy,2012,1,1605
162,Entreprise et changement climatique,5,2927,ESSEC Business School,entreprise-changement-climatique,medical,https://www.coursera.org/learn/entreprise-changement-climatique,2015,4,14635
163,"Epidemics, Pandemics and Outbreaks",4.74,2929,University of Pittsburgh,epidemic-pandemic-outbreak,medical,https://www.coursera.org/learn/epidemic-pandemic-outbreak,2015,4,13883
164,Epidemiology: The Basic Science of Public Health,4.65,2596,The University of north Carolina at Chapel Hill,epidemiology,medical,https://www.coursera.org/learn/epidemiology,2015,4,12071
165,Epigenetic Control of Gene Expression,1,2766,The University of Melbourne,epigenetics,medical,https://www.coursera.org/learn/epigenetics,2016,4,2766
166,Equine Welfare and Management,4.95,2253,"University of California, Davis",equine,commerce,https://www.coursera.org/learn/equine,2018,10,11152
167,Essential Epidemiologic Tools for Public Health Practice,4.69,2738,Johns Hopkins University,epidemiology-tools,medical,https://www.coursera.org/learn/epidemiology-tools,2016,4,12841
168,Essential Google Cloud Infrastructure: Core Services,4.67,3313,Google Cloud,gcp-infrastructure-core-services,coding / computer,https://www.coursera.org/learn/gcp-infrastructure-core-services,2015,11,15472
169,Essential Google Cloud Infrastructure: Foundation,4.73,3495,Google Cloud,gcp-infrastructure-foundation,coding / computer,https://www.coursera.org/learn/gcp-infrastructure-foundation,2018,11,16531
170,Essentials in Clinical Simulations Across the Health Professions,4.83,2603,The George Washington University,clinicalsimulations,medical,https://www.coursera.org/learn/clinicalsimulations,2017,4,12572
171,Essentials of Global Health,4.86,2764,Yale University,essentials-global-health,medical,https://www.coursera.org/learn/essentials-global-health,2013,4,13433
172,European Business Law: Understanding the Fundamentals,4.75,1317,Lund University,european-law-fundamentals,law,https://www.coursera.org/learn/european-law-fundamentals,2013,4,6256
173,Everyday Chinese Medicine,4.7,3293,The Chinese University of Hong Kong,everyday-chinese-medicine,chinese / foreign / medical,https://www.coursera.org/learn/everyday-chinese-medicine,2013,4,15477
174,"Everyday Excel, Part 1",4.83,3220,University of Colorado Boulder,everyday-excel-part-1,computer,https://www.coursera.org/learn/everyday-excel-part-1,2013,6,15553
